4157	62.0
4166	65.0
4175	65.0
4181	42.0
4188	47.0
4193	36.0
4201	56.0
4210	64.0
4212	7.0
4216	26.0
4222	41.0
4227	30.0
4232	37.0
4242	173.0
4248	41.0
4251	18.0
4256	35.0
4259	17.0
4261	7.0
4266	36.0
4268	7.0
4270	7.0
4273	18.0
4283	171.0
4287	25.0
4293	42.0
4297	26.0
4300	18.0
4304	26.0
4306	6.0
4308	7.0
4316	59.0
4326	172.0
4334	58.0
4339	35.0
4346	47.0
4348	7.0
4351	18.0
4361	171.0
4364	18.0
4370	41.0
4372	7.0
4376	25.0
4385	66.0
4390	30.0
4394	25.0
4397	19.0
4407	171.0
4412	31.0
4416	25.0
4426	171.0
4428	7.0
4438	171.0
4443	32.0
4446	19.0
4451	31.0
4456	30.0
4459	17.0
4467	59.0
4472	31.0
4475	18.0
4480	33.0
4487	50.0
4497	70.0
4503	37.0
4512	62.0
4516	26.0
4521	31.0
4524	18.0
4534	73.0
4536	7.0
4543	48.0
4545	7.0
4550	37.0
4556	46.0
4563	47.0
4565	7.0
4574	64.0
4576	7.0
4584	56.0
4590	47.0
4593	18.0
4598	37.0
4607	64.0
4615	59.0
4623	55.0
4630	45.0
4636	41.0
4640	26.0
4647	48.0
4651	26.0
4654	18.0
4657	18.0
4659	6.0
4666	49.0
4669	18.0
4673	24.0
4681	57.0
4690	67.0
4693	18.0
4696	18.0
4702	41.0
4711	62.0
4713	7.0
4720	49.0
4722	6.0
4725	18.0
4730	36.0
4737	46.0
4747	172.0
4757	172.0
4764	50.0
4769	35.0
4773	25.0
4779	42.0
4789	171.0
4794	33.0
4799	31.0
4801	7.0
4806	37.0
4816	171.0
4819	18.0
4823	26.0
4829	42.0
4831	5.0
4836	31.0
4838	5.0
4843	31.0
4850	45.0
4854	26.0
4857	18.0
4861	25.0
4867	44.0
4876	67.0
4878	6.0
4880	7.0
4885	32.0
4888	18.0
4893	31.0
4897	25.0
4902	30.0
4906	26.0
4910	25.0
4917	47.0
4920	19.0
4929	65.0
4937	58.0
4947	73.0
4952	32.0
4953	7.0
4955	7.0
4957	7.0
4959	7.0
4967	58.0
4972	32.0
4975	18.0
4977	7.0
4980	30.0
4990	171.0
5000	172.0
5003	18.0
5013	173.0
5016	18.0
5019	18.0
5026	46.0
5030	26.0
5032	5.0
5034	7.0
5039	31.0
5042	18.0
5045	17.0
5054	63.0
5057	19.0
5061	25.0
5063	6.0
5068	36.0
5071	18.0
5078	49.0
5084	41.0
5087	17.0
5095	56.0
5102	46.0
5104	7.0
5108	25.0
5116	55.0
5118	6.0
5122	25.0
5128	45.0
5133	32.0
5136	18.0
5137	7.0
5142	32.0
5143	6.0
5146	18.0
5154	55.0
5156	7.0
5162	37.0
5165	17.0
5172	46.0
5175	17.0
5179	24.0
5184	29.0
5192	60.0
5198	37.0
5208	172.0
5216	61.0
5223	46.0
5233	171.0
5242	63.0
5246	25.0
5248	7.0
5257	63.0
5262	35.0
5264	6.0
5269	31.0
5273	25.0
5275	7.0
5282	50.0
5286	26.0
5296	172.0
5298	7.0
5304	40.0
5309	30.0
5316	50.0
5321	31.0
5325	25.0
5327	7.0
5330	18.0
5338	60.0
5340	7.0
5343	18.0
5346	18.0
5348	7.0
5353	31.0
5356	18.0
5360	26.0
5362	7.0
5372	172.0
5380	61.0
5383	18.0
5388	30.0
5396	55.0
5405	62.0
5415	173.0
5419	25.0
5423	25.0
5425	6.0
5430	32.0
5433	18.0
5440	49.0
5443	18.0
5446	18.0
5448	7.0
5453	31.0
5457	24.0
5460	18.0
5464	26.0
5467	18.0
5472	31.0
5474	7.0
5476	7.0
5483	46.0
5488	30.0
5493	33.0
5501	55.0
5509	55.0
5512	18.0
5520	53.0
5523	18.0
5531	58.0
5533	7.0
5535	7.0
5537	7.0
5540	30.0
5545	31.0
5548	18.0
5550	6.0
5560	171.0
5567	50.0
5577	172.0
5579	7.0
5583	25.0
5586	18.0
5588	7.0
5593	31.0
5596	18.0
5604	59.0
5613	66.0
5618	36.0
5621	18.0
5628	47.0
5632	26.0
5639	48.0
5644	34.0
5647	18.0
5650	18.0
5653	18.0
5655	7.0
5664	67.0
5670	42.0
5676	47.0
5681	30.0
5689	55.0
5696	48.0
5700	25.0
5710	170.0
5720	172.0
5726	37.0
5730	25.0
5736	42.0
5737	6.0
5742	38.0
5746	25.0
5751	30.0
5756	31.0
5760	26.0
5762	7.0
5771	63.0
5774	17.0
5778	24.0
5785	46.0
5795	172.0
5799	25.0
5802	18.0
5812	71.0
5821	65.0
5829	59.0
5831	6.0
5835	25.0
5845	172.0
5853	55.0
5860	49.0
5869	64.0
5874	30.0
5880	43.0
5887	44.0
5896	63.0
5901	30.0
5911	70.0
5916	31.0
5918	7.0
5926	55.0
5936	73.0
5941	32.0
5943	7.0
5948	31.0
5949	6.0
5957	55.0
5966	68.0
5970	25.0
5975	30.0
5977	7.0
5986	63.0
5996	170.0
6005	66.0
6013	58.0
6017	25.0
6022	31.0
6024	6.0
6031	45.0
6035	26.0
6042	46.0
6052	170.0
6054	7.0
6057	18.0
6059	7.0
6062	18.0
6064	7.0
6067	19.0
6074	50.0
6082	60.0
6087	30.0
6096	68.0
6099	18.0
6108	63.0
6112	26.0
6117	32.0
6127	171.0
6136	64.0
6141	31.0
6148	49.0
6155	48.0
6157	5.0
6166	63.0
6171	36.0
6177	43.0
6179	7.0
6181	7.0
6184	18.0
6186	6.0
6196	172.0
6198	7.0
6200	7.0
6203	18.0
6208	30.0
6210	7.0
6215	31.0
6225	171.0
6235	171.0
6238	18.0
6247	64.0
6249	7.0
6254	32.0
6261	46.0
6266	32.0
6274	59.0
6279	30.0
6287	58.0
6292	36.0
6302	170.0
6307	37.0
6314	49.0
6321	49.0
6323	7.0
6330	46.0
6333	17.0
6338	36.0
6341	30.0
6345	25.0
6352	46.0
6357	36.0
6359	7.0
6364	31.0
6366	6.0
6372	41.0
6374	7.0
6376	7.0
6383	47.0
6385	6.0
6388	18.0
6396	56.0
6398	7.0
6406	55.0
6408	7.0
6410	7.0
6414	25.0
6420	40.0
6429	66.0
6432	18.0
6441	64.0
6444	19.0
6449	35.0
6454	31.0
6461	46.0
6469	55.0
6478	65.0
6484	40.0
6489	32.0
6492	18.0
6497	30.0
6505	56.0
6514	65.0
6521	48.0
6527	41.0
6531	25.0
6541	171.0
6546	31.0
6550	26.0
6553	18.0
6556	18.0
6560	25.0
6563	18.0
6570	51.0
6576	42.0
6579	17.0
6585	41.0
6587	6.0
6589	7.0
6598	62.0
6599	7.0
6601	7.0
6603	7.0
6608	31.0
6613	35.0
6615	6.0
6620	31.0
6625	30.0
6630	31.0
6635	29.0
6639	25.0
6642	18.0
6652	171.0
6658	42.0
6660	7.0
6667	48.0
6670	19.0
6672	7.0
6678	41.0
6688	171.0
6693	37.0
6695	6.0
6702	49.0
6712	70.0
6721	64.0
6725	25.0
6728	18.0
6732	25.0
6737	34.0
6740	18.0
6745	31.0
6749	25.0
6754	31.0
6757	18.0
6759	7.0
6769	172.0
6776	47.0
6779	18.0
6781	7.0
6786	36.0
6791	36.0
6801	171.0
6804	18.0
6808	25.0
6813	38.0
6816	18.0
6820	25.0
6826	42.0
6828	6.0
6835	47.0
6845	172.0
6850	30.0
6860	172.0
6862	7.0
6870	55.0
6879	66.0
6883	26.0
6886	17.0
6888	7.0
6891	18.0
6896	36.0
6906	172.0
6910	26.0
6913	18.0
6919	42.0
6921	6.0
6931	172.0
6939	58.0
6944	36.0
6946	6.0
6949	18.0
6959	171.0
6963	25.0
6965	7.0
6968	18.0
6972	25.0
6979	50.0
6987	55.0
6996	65.0
6999	18.0
7003	25.0
7005	7.0
7010	31.0
7018	55.0
7020	6.0
7022	7.0
7027	31.0
7029	7.0
7034	36.0
7044	172.0
7051	47.0
7054	18.0
7059	35.0
7066	49.0
7069	17.0
7077	55.0
7084	44.0
7086	6.0
7091	31.0
7093	7.0
7097	25.0
7102	30.0
7105	18.0
7113	58.0
7117	26.0
7119	6.0
7122	18.0
7132	171.0
7138	40.0
7143	30.0
7145	6.0
7150	32.0
7158	60.0
7164	41.0
7166	6.0
7170	26.0
7172	5.0
7175	18.0
7182	47.0
7188	37.0
7190	6.0
7200	71.0
7207	48.0
7214	48.0
7219	31.0
7226	49.0
7231	32.0
7240	63.0
7247	46.0
7252	33.0
7254	8.0
7260	41.0
7266	40.0
7269	18.0
7276	46.0
7282	41.0
7284	5.0
7286	7.0
7291	32.0
7293	5.0
7296	18.0
7298	7.0
7301	18.0
7303	6.0
7308	35.0
7312	25.0
7315	18.0
7318	18.0
7322	26.0
7325	18.0
7333	56.0
7341	56.0
7343	6.0
7348	36.0
7353	32.0
7356	17.0
7359	17.0
7367	57.0
7372	31.0
7382	171.0
7385	18.0
7387	7.0
7393	42.0
7396	18.0
7399	17.0
7407	59.0
7417	170.0
7427	172.0
7433	41.0
7441	54.0
7449	58.0
7454	34.0
7462	52.0
7467	31.0
7475	58.0
7480	36.0
7487	49.0
7489	5.0
7498	65.0
7500	7.0
7504	25.0
7510	37.0
7511	6.0
7513	7.0
7520	51.0
7530	172.0
7534	26.0
7541	48.0
7548	46.0
7558	72.0
7561	18.0
7570	67.0
7575	35.0
7583	54.0
7591	60.0
7593	6.0
7602	66.0
7607	31.0
7611	25.0
7615	25.0
7620	30.0
7629	63.0
7635	41.0
7643	54.0
7647	25.0
7652	29.0
7657	31.0
7663	41.0
7666	17.0
7668	5.0
7674	42.0
7676	7.0
7686	171.0
7691	31.0
7699	55.0
7703	25.0
7706	17.0
7711	30.0
7713	7.0
7723	171.0
7725	7.0
7729	26.0
7736	46.0
7738	7.0
7740	7.0
7746	44.0
7749	30.0
7751	7.0
7756	36.0
7762	41.0
7765	17.0
7775	170.0
7780	31.0
7788	55.0
7791	29.0
7799	53.0
7804	31.0
7807	17.0
7810	17.0
7813	18.0
7815	5.0
7817	7.0
7822	33.0
7829	48.0
7831	7.0
7834	18.0
7841	50.0
7849	57.0
7854	37.0
7857	16.0
7860	16.0
7862	7.0
7864	7.0
7870	42.0
7880	172.0
7883	18.0
7892	69.0
7894	7.0
7899	31.0
7900	6.0
7902	7.0
7904	7.0
7909	31.0
7914	35.0
7919	36.0
7925	41.0
7928	18.0
7930	6.0
7932	7.0
7934	7.0
7938	26.0
7945	48.0
7951	41.0
7953	10.0
7956	18.0
7958	6.0
7960	7.0
7965	36.0
7970	36.0
7976	41.0
7984	59.0
7987	18.0
7993	40.0
7999	41.0
8006	46.0
8011	31.0
8013	7.0
8018	31.0
8021	19.0
8023	7.0
8026	18.0
8036	171.0
8042	41.0
8045	18.0
8051	41.0
8054	18.0
8059	36.0
8064	30.0
8074	171.0
8083	63.0
8087	25.0
8092	30.0
8094	7.0
8096	8.0
8100	26.0
8105	30.0
8115	170.0
8120	32.0
8130	172.0
8137	49.0
8141	26.0
8145	26.0
8153	55.0
8155	8.0
8157	7.0
8160	20.0
8163	18.0
8166	18.0
8173	47.0
8182	62.0
8185	18.0
8187	7.0
8190	18.0
8194	26.0
8197	18.0
8200	30.0
8204	26.0
8208	24.0
8217	68.0
8222	35.0
8225	18.0
8235	72.0
8240	33.0
8244	26.0
8247	19.0
8251	25.0
8254	18.0
8264	71.0
8271	49.0
8276	31.0
8279	19.0
8284	30.0
8288	25.0
8290	7.0
8295	31.0
8300	31.0
8308	56.0
8311	17.0
8314	17.0
8321	45.0
8324	16.0
8328	25.0
8331	18.0
8334	18.0
8344	173.0
8346	10.0
8352	41.0
8361	62.0
8368	45.0
8370	7.0
8372	10.0
8382	170.0
8391	65.0
8394	18.0
8396	10.0
8398	5.0
8400	7.0
8407	47.0
8410	18.0
8413	18.0
8417	25.0
8422	36.0
8429	48.0
8433	28.0
8435	6.0
8437	8.0
8441	26.0
8444	19.0
8452	55.0
8462	172.0
8464	10.0
8466	7.0
8468	8.0
8475	48.0
8480	31.0
8486	41.0
8488	6.0
8495	50.0
8498	18.0
8500	10.0
8502	6.0
8504	10.0
8511	50.0
8518	46.0
8522	26.0
8527	36.0
8530	18.0
8533	18.0
8535	8.0
8542	49.0
8547	35.0
8552	31.0
8554	7.0
8557	18.0
8559	7.0
8563	26.0
8568	32.0
8572	24.0
8581	63.0
8588	49.0
8592	25.0
8598	38.0
8601	18.0
8611	173.0
8619	55.0
8629	173.0
8637	55.0
8640	18.0
8650	172.0
8652	8.0
